,idno,author,author-gender,title,year,supergenre,genre,subgenre,subsubgenre,genre-label,genre-subtitle,narration,protagonist-gender,protagonist-policier,setting,availability,tei,status,decade
rf0044,rf0044,Loti,male,Figures,1898,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1890s
rf0446,rf0446,Sand,female,MeunierAngibault,1845,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1840s
rf0082,rf0082,Verne,male,AutourLune,1869,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf1002,rf1002,Boisgobey,male,OeilChat1,1888,narrative,novel,policier,criminel,n.av.,n.av.,heterodiegetic,n.av.,n.av.,urban,publicdomain,12,n.av.,1880s
rf0636,rf0636,FevalPP,male,Louve1,1855,narrative,novel,blanche,adventure,n.av.,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1850s
rf1155,rf1155,Gaboriau,male,CrimeOrcival,1866,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,detective,rural,publicdomain,12,lu,1860s
rf0719,rf0719,Darien,male,BiribiriDiscipline,1890,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,restricted,11,n.av.,1890s
rf0485,rf0485,Stolz,female,BlancheNoire,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1870s
rf0177,rf0177,Verne,male,TribulationsChinois,1879,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0311,rf0311,Aimard,male,BelleRiviere,1874,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0467,rf0467,Sand,female,MaitresMosaistes,1837,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1830s
rf0411,rf0411,Malot,male,Ghislaine,1887,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0640,rf0640,Huysmans,male,ARebours,1884,narrative,novel,blanche,other,n.av.,n.av.,heterodiegetic,male,n.av.,n.av.,publicdomain,11,n.av.,1880s
rf0053,rf0053,Maupassant,male,FortMort,1889,narrative,novel,blanche,blanche,Gesellschaftsroman,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0108,rf0108,Boisgobey,male,MainFroide,1889,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1880s
rf0571,rf0571,Balzac,male,TenebreuseAffaire,1841,narrative,novel,policier,precurseur,n.av.,n.av.,heterodiegetic,mixed,criminal,rural,restricted,11,lu,1840s
rf1164,rf1164,Ponson,male,CordePendu2,1870,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,criminal,urban,publicdomain,12,n.av.,1870s
rf0037,rf0037,ErckChat,male,MadameTherese,1863,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0628,rf0628,FevalPP,male,MysteresLondres3,1843,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,n.av.,criminal,urban,publicdomain,11,n.av.,1840s
rf0475,rf0475,Stolz,female,ViolenceBonté,1888,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0149,rf0149,Verne,male,DeuxAnsVacances,1888,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0423,rf0423,Mary,male,RogerLaHonte,1886,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0373,rf0373,Gouraud,male,PetiteMaitresse,1884,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1880s
rf1021,rf1021,Gaboriau,male,Argent1,1874,narrative,novel,policier,criminel,Kriminalroman,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1870s
rf1029,rf1029,Gaboriau,male,EsclavesParis2,1867,narrative,novel,policier,detection,n.av.,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,12,n.av.,1860s
rf0046,rf0046,Loti,male,MariageLoti,1882,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1880s
rf0025,rf0025,ErckChat,male,AmiFritz,1864,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0303,rf0303,Aimard,male,RoisOcean2VentEnPanne,1877,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0454,rf0454,Sand,female,Horace,1841,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1840s
rf0365,rf0365,Gautier,male,CapitaineFracasse,1863,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0139,rf0139,Sue,male,MysteresPeuple11,1854,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf1024,rf1024,Gaboriau,male,CliqueDoree2,1871,narrative,novel,blanche,n.av.,Gesellschaftsroman,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1870s
rf0172,rf0172,Verne,male,MathiasSandorf,1885,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0102,rf0102,Zola,male,Argent,1891,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1890s
rf0178,rf0178,Verne,male,VingtMilleLieues,1871,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0479,rf0479,Stolz,female,TresorNanette,1872,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0368,rf0368,Gouraud,male,AllerRetour,1880,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf1162,rf1162,Ponson,male,ClubValets2,1858,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,criminal,urban,publicdomain,12,n.av.,1850s
rf0638,rf0638,Huysmans,male,SœursVatard,1879,narrative,novel,blanche,social,n.av.,n.av.,heterodiegetic,female,n.av.,urban,publicdomain,12,n.av.,1870s
rf0302,rf0302,Aimard,male,TrappeursArkansas,1858,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf0127,rf0127,Sue,male,MysteresParis01,1842,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1840s
rf0379,rf0379,Gouraud,male,PetitColporteur,1867,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0016,rf0016,Daudet,male,Evangeliste,1882,narrative,novel,blanche,social,roman-de-moeurs,roman,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1880s
rf0021,rf0021,Daudet,male,PortTarascon,1890,narrative,novel,blanche,adventure,n.av.,n.av.,heterodiegetic,male,n.av.,n.av.,publicdomain,11,n.av.,1890s
rf0081,rf0081,Verne,male,ArchipelFeu,1884,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf1169,rf1169,Ponson,male,ExploitsRocambole1,1859,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,criminal,urban,publicdomain,12,lu,1850s
rf0610,rf0610,FevalPP,male,FilsDiable1,1846,narrative,novel,blanche,adventure,n.av.,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1840s
rf0614,rf0614,FevalPP,male,HommeSansBras,1881,narrative,novel,policier,archaique,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1880s
rf1151,rf1151,Gaboriau,male,CordeCou1,1873,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,suspect,rural,publicdomain,12,n.av.,1870s
rf0131,rf0131,Sue,male,MysteresPeuple02,1849,narrative,novel,blanche,blanche,n.av.,histoire,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1840s
rf1026,rf1026,Gaboriau,male,Degringolade2,1872,narrative,novel,policier,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1870s
rf1160,rf1160,Ponson,male,Chevaliers,1860,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,criminal,urban,publicdomain,12,n.av.,1860s
rf1176,rf1176,Ponson,male,ResurrectionRocambole1,1866,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,criminal,urban,publicdomain,12,n.av.,1860s
rf0611,rf0611,FevalPP,male,HabitsNoirs2Coeur,1865,narrative,novel,policier,criminel,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1860s
rf0421,rf0421,Mary,male,FillesPocharde,1898,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1890s
rf0133,rf0133,Sue,male,MysteresPeuple04,1850,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf0024,rf0024,Daudet,male,Tartarin2,1885,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
